potěr,fry [fraɪ]
konečný,finite [ˈfaɪ.naɪt]
vlajková loď,flagship [ˈflæɡ.ʃɪp]
forenzní,forensic [fəˈren.zɪk]
nadcházející,forthcoming [ˈfɔːrθˌkʌm.ɪŋ]
galon,gallon [ˈɡæl.ən]
glukóza,glucose [ˈɡluː.koʊs]
Gore,gore [ɡɔːr]
talár,gown [ɡaʊn]
chamtivý,greedy [ˈɡriː.di]
svatozář,halo [ˈheɪ.loʊ]
ideálně,ideally [aɪˈdiː.ə.li]
nechvalně proslulý,infamous [ˈɪn.fə.məs]
inspirativní,inspirational [ˌɪn.spəˈreɪ.ʃən.əl]
vnitřně,internally [ɪnˈtɝː.nəl.i]
postranní,lateral [ˈlæt̬.ɚ.əl]
celoživotní,lifelong [ˈlaɪf.lɑːŋ]
vápenec,limestone [ˈlaɪm.stoʊn]
Liner,liner [ˈlaɪ.nɚ]
spojit,merge [mɝːdʒ]
pletivo,mesh [meʃ]
Moron,moron [ˈmɔːr.ɑːn]
minomet,mortar [ˈmɔːr.tɚ]
naivní,naive [naɪˈiːv]
Nat,nat [næt]
znatelné,noticeable [ˈnoʊ.t̬ɪ.sə.bəl]
parfém,perfume [ˈpɝː.fjuːm]
prestiž,prestige [presˈtiːʒ]
pyramida,pyramid [ˈpɪr.ə.mɪd]
relevance,relevance [ˈrel.ə.vəns]
vzdáleně,remotely [rɪˈmoʊt.li]
rigidní,rigid [ˈrɪdʒ.ɪd]
osadník,settler [ˈset.lɚ]
rozbít,shatter [ˈʃæt̬.ɚ]
nádherný,splendid [ˈsplen.dɪd]
dalekohled,telescope [ˈtel.ə.skoʊp]
Temp,temp [temp]
ukončit,terminate [ˈtɝː.mə.neɪt]
textilní,textile [ˈtek.staɪl]
tloušťka,thickness [ˈθɪk.nəs]
podnos,tray [treɪ]
nepřiměřené,unreasonable [ʌnˈriː.zən.ə.bəl]
nejistý,unsure [ʌnˈʃʊr]
nahoru,upwards [ˈʌp.wɚdz]
ocenění,valuation [ˌvæl.juˈeɪ.ʃən]
Veterinární,veterinary [ˈvet.ər.ə.ner.i]
vesničan,villager [ˈvɪl.ɪ.dʒɚ]
pobavení,amusement [əˈmjuːz.mənt]
antibiotikum,antibiotic [ˌæn.t̬i.baɪˈɑː.t̬ɪk]
očekávání,anticipation [ænˌtɪs.əˈpeɪ.ʃən]
vhodně,appropriately [əˈproʊ.pri.ət.li]
arogantní,arrogant [ˈer.ə.ɡənt]
povolení,authorization [ˌɑː.θɚ.əˈzeɪ.ʃən]
pomocný,auxiliary [ɑːɡˈzɪl.i.er.i]
zavazadla,baggage [ˈbæɡ.ɪdʒ]
maják,beacon [ˈbiː.kən]
Bounty,bounty [ˈbaʊn.t̬i]
boxer,boxer [ˈbɑːk.sɚ]
briefing,briefing [ˈbriː.fɪŋ]
potok,brook [brʊk]
keramický,ceramic [səˈræm.ɪk]
obiloviny,cereal [ˈsɪr.i.əl]
Challenger,challenger [ˈtʃæl.ɪn.dʒɚ]
duchovenstvo,clergy [ˈklɝː.dʒi]
Cola,cola [ˈkoʊ.lə]
kóma,coma [ˈkoʊ.mə]
pohodlně,comfortably [ˈkʌmf.tə.bli]
kompas,compass [ˈkʌm.pəs]
opovržení,contempt [kənˈtempt]
sestoupit,descend [dɪˈsend]
zmizení,disappearance [ˌdɪs.əˈpɪr.əns]
přebývat,dwell [dwel]
ekologie,ecology [iˈkɑː.lə.dʒi]
vznik,emergence [ɪˈmɝː.dʒəns]
přiložit,enclose [ɪnˈkloʊz]
vytrvalost,endurance [ɪnˈdʊr.əns]
erotický,erotic [ɪˈrɑː.t̬ɪk]
evakuace,evacuation [ɪˌvæk.juˈeɪ.ʃən]
výjimečně,exceptionally [ɪkˈsep.ʃən.əl.i]
výdaje,expenditure [ɪkˈspen.də.tʃɚ]
sokol,falcon [ˈfɑːl.kən]
Složka,folder [ˈfoʊl.dɚ]
vystrašit,frighten [ˈfraɪ.tən]
drážka,groove [ɡruːv]
živý plot,hedge [hedʒ]
homosexualita,homosexuality [ˌhoʊ.moʊ.sek.ʃuˈæl.ə.t̬i]
napadnout,invade [ɪnˈveɪd]
ironicky,ironically [aɪˈrɑː.nɪ.kəl.i]
žárlivost,jealousy [ˈdʒel.ə.si]
žolík,joker [ˈdʒoʊ.kɚ]
naložený,laden [ˈleɪ.dən]
meta,meta [ˈmet̬.ə]
Mil,mil [ˌdɑːtˈmɪl]
kývnutí,nod [nɑːd]
Notebook,notebook [ˈnoʊt.bʊk]
nadváha,overweight [ˌoʊ.vɚˈweɪt]
paleta,palette [ˈpæl.ət]
odložit,postpone [poʊstˈpoʊn]
silný,potent [ˈpoʊ.t̬ənt]
předcházet,precede [priːˈsiːd]
dravec,predator [ˈpred.ə.t̬ɚ]
deštivý,rainy [ˈreɪ.ni]
renovace,renovation [ˌren.əˈveɪ.ʃən]
ctihodný,reverend [ˈrev.ɚ.ənd]
rez,rust [rʌst]
slaný,salty [ˈsɑːl.t̬i]
Skot,scot [skɑːt]
kontrola,scrutiny [ˈskruː.t̬ən.i]
záchvat,seizure [ˈsiː.ʒɚ]
sérum,serum [ˈsɪr.əm]
singulární,singular [ˈsɪŋ.ɡjə.lɚ]
brusle,skate [skeɪt]
bloudí,stray [streɪ]
Stud,stud [stʌd]
večeře,supper [ˈsʌp.ɚ]
miláček,sweetheart [ˈswiːt.hɑːrt]
systémové,systemic [sɪˈstem.ɪk]
tempo,tempo [ˈtem.poʊ]
z toho,thereof [ˌðerˈɑːv]
žíznivý,thirsty [ˈθɝː.sti]
pochodeň,torch [tɔːrtʃ]
Turbo,turbo [ˈtɝː.boʊ]
nezměněn,unchanged [ʌnˈtʃeɪndʒd]
srozumitelný,understandable [ˌʌn.dɚˈstæn.də.bəl]
sloupek,upright [ˈʌp.raɪt]
povstání,uprising [ˈʌpˌraɪ.zɪŋ]
marný,vain [veɪn]
marnost,vanity [ˈvæn.ə.t̬i]
housle,violin [ˌvaɪ.əˈlɪn]
čímž,whereby [werˈbaɪ]
šepot,whisper [ˈwɪs.pɚ]
akcelerace,acceleration [ekˌsel.əˈreɪ.ʃən]
hliník,aluminium [ˌæl.jəˈmɪn.i.əm]
Analytical,analytical [ˌæn.əˈlɪt̬.ɪ.kəl]
pasáž,arcade [ɑːrˈkeɪd]
astma,asthma [ˈæz.mə]
Aurora,aurora [ɔːˈrɔːr.ə]
bakteriální,bacterial [bækˈtɪr.i.əl]
bankrot,bankrupt [ˈbæŋ.krʌpt]
blikat,blink [blɪŋk]
dětinský,childish [ˈtʃaɪl.dɪʃ]
Chili,chili [ˈtʃɪl.i]
cívka,coil [kɔɪl]
složka,constituent [kənˈstɪtʃ.u.ənt]
tvrzení,contention [kənˈten.tʃən]
smlouva,covenant [ˈkʌv.ən.ənt]
Das,das [ˌdiːˈeɪ]
dis,dis [dɪs]
ostuda,disgrace [dɪsˈɡreɪs]
emiráty,emirate [ˈem.ɪ.reɪt]
eventuální,eventual [ɪˈven.tʃu.əl]
vynikat,excel [ɪkˈsel]
za prvé,firstly [ˈfɝːst.li]
chuť,flavour [ˈfleɪ.vɚ]
flex,flex [fleks]
rod,genus [ˈdʒiː.nəs]
hrozny,grape [ɡreɪp]
chamtivost,greed [ɡriːd]
pozdravit,greet [ɡriːt]
přadeno,hank [hæŋk]
hadice,hose [hoʊz]
zánět,inflammation [ˌɪn.fləˈmeɪ.ʃən]
Ko,ko [ˈkeɪˌoʊ]
láva,lava [ˈlɑː.və]
magnet,magnet [ˈmæɡ.nət]
metafora,metaphor [ˈmet̬.ə.fɔːr]
milionář,millionaire [ˌmɪl.jəˈner]
černoch,negro [ˈni·ɡroʊ]
null,null [nʌl]
orientální,oriental [ˌɔːr.iˈen.t̬əl]
pakt,pact [pækt]
Paramount,paramount [ˈper.ə.maʊnt]
paranoidní,paranoid [ˈper.ə.nɔɪd]
patron,patron [ˈpeɪ.trən]
Popcorn,popcorn [ˈpɑːp.kɔːrn]
Proxy,proxy [ˈprɑːk.si]
kvantitativní,quantitative [ˈkwɑːn.t̬ə.teɪ.t̬ɪv]
znovu získat,regain [rɪˈɡeɪn]
připomínat,resemble [rɪˈzem.bəl]
retardovaný,retarded [rɪˈtɑr·dɪd]
vzpoura,revolt [rɪˈvoʊlt]
správně,rightly [ˈraɪt.li]
sedlo,saddle [ˈsæd.əl]
vzdělávání,schooling [ˈskuː.lɪŋ]
svatyně,shrine [ʃraɪn]
Zmenší se,shrink [ʃrɪŋk]
odstřelovač,sniper [ˈsnaɪ.pɚ]
osamělý,solitary [ˈsɑː.lə.ter.i]
zármutek,sorrow [ˈsɔːr.oʊ]
Stoke,stoke [stoʊk]
ukončení,termination [ˌtɝː.məˈneɪ.ʃən]
stehno,thigh [θaɪ]
vzkvétat,thrive [θraɪv]
troll,troll [troʊl]
odhalit,uncover [ʌnˈkʌv.ɚ]
podnikat,undertake [ˌʌn.dɚˈteɪk]
vesta,vest [vest]
réva,vine [vaɪn]
záruka,warranty [ˈwɔːr.ən.t̬i]
oslabit,weaken [ˈwiː.kən]
yen,yen [jen]
ulička,aisle [aɪl]
všemohoucí,almighty [ɑːlˈmaɪ.t̬i]
oděv,apparel [əˈper.əl]
arbitráž,arbitration [ˌɑːr.bəˈtreɪ.ʃən]
artefakt,artifact [ˈɑːr.t̬ə.fækt]
Auburn,auburn [ˈɑː.bɚn]
probuzení,awakening [əˈweɪ.kən.ɪŋ]
bilaterální,bilateral [ˌbaɪˈlæt̬.ɚ.əl]
Brace,brace [breɪs]
titulek,caption [ˈkæp.ʃən]
sytič,choke [tʃoʊk]
Cholesterol,cholesterol [kəˈles.tə.rɑːl]
nóbl,classy [ˈklæs.i]
přinutit,compel [kəmˈpel]
skrývat,conceal [kənˈsiːl]
konfrontace,confrontation [ˌkɑːn.frənˈteɪ.ʃən]
přispěvatel,contributor [kənˈtrɪb.jə.t̬ɚ]
Deluxe,deluxe [dɪˈlʌks]
zpustošit,devastate [ˈdev.ə.steɪt]
přestrojení,disguise [dɪsˈɡaɪz]
propuštění,dismissal [dɪˈsmɪs.əl]
přízemí,downstairs [ˌdaʊnˈsterz]
empatie,empathy [ˈem.pə.θi]
soubor,ensemble [ˌɑːnˈsɑːm.bəl]
realizovatelný,feasible [ˈfiː.zə.bəl]
vadný,flawed [flɑːd]
tuk,grease [ɡriːs]
chodba,hallway [ˈhɑːl.weɪ]
homosexuál,homosexual [ˌhoʊ.moʊˈsek.ʃu.əl]
vrak,hulk [hʌlk]
Hydraulické,hydraulic [haɪˈdrɑː.lɪk]
impuls,impulse [ˈɪm.pʌls]
neschopný,incapable [ɪnˈkeɪ.pə.bəl]
zánětlivé,inflammatory [ɪnˈflæm.ə.tɔːr.i]
šílenství,insanity [ɪnˈsæn.ə.t̬i]
UNISTERURE,insecure [ˌɪn.səˈkjʊr]
úmyslné,intentional [ɪnˈten.ʃən.əl]
uzel,knot [nɑːt]
přednášející,lecturer [ˈlek.tʃɚ.ɚ]
chtíč,lust [lʌst]
mikrofon,microphone [ˈmaɪ.krə.foʊn]
miniaturní,miniature [ˈmɪn.i.ə.tʃɚ]
motto,motto [ˈmɑː.t̬oʊ]
státní příslušnost,nationality [ˌnæʃ.ənˈæl.ə.t̬i]
počátek,onset [ˈɑːn.set]
pronásledování,persecution [ˌpɝː.səˈkjuː.ʃən]
benzín,petrol [ˈpet.rəl]
filozof,philosopher [fɪˈlɑː.sə.fɚ]
plantáž,plantation [plænˈteɪ.ʃən]
v současné době,presently [ˈprez.ənt.li]
próza,prose [proʊz]
prostituce,prostitution [ˌprɑː.stəˈtuː.ʃən]
radioaktivní,radioactive [ˌreɪ.di.oʊˈæk.tɪv]
břitva,razor [ˈreɪ.zɚ]
realizace,realization [ˌriː.ə.ləˈzeɪ.ʃən]
smíření,reconciliation [ˌrek.ənˌsɪl.iˈeɪ.ʃən]
koberec,rug [rʌɡ]
heslo,slogan [ˈsloʊ.ɡən]
sponzorství,sponsorship [ˈspɑːn.sɚ.ʃɪp]
řídit,steer [stɪr]
jahoda,strawberry [ˈstrɑːˌber.i]
usilovat,strive [straɪv]
pokušení,temptation [tempˈteɪ.ʃən]
dlaždice,tile [taɪl]
vlek,tow [toʊ]
neozbrojený,unarmed [ʌnˈɑːrmd]
nedokončený,unfinished [ʌnˈfɪn.ɪʃt]
nezdravý,unhealthy [ʌnˈhel.θi]
protiprávní,unlawful [ʌnˈlɑː.fəl]
nepopulární,unpopular [ʌnˈpɑː.pjə.lɚ]
zmizet,vanish [ˈvæn.ɪʃ]
sloveso,verb [vɝːb]
nestálý,volatile [ˈvɑː.lə.t̬əl]
dobrovolně,voluntarily [ˈvɑː.lən.ter.əl.i]
abnormální,abnormal [æbˈnɔːr.məl]
dostatek,ample [ˈæm.pəl]
analogie,analogy [əˈnæl.ə.dʒi]
vrchol,apex [ˈeɪ.peks]
apokalypsa,apocalypse [əˈpɑː.kə.lɪps]
zařízení,appliance [əˈplaɪ.əns]
zaostalý,backward [ˈbæk.wɚd]
kývnutí,beck [bek]
bingo,bingo [ˈbɪŋ.ɡoʊ]
kotel,boiler [ˈbɔɪ.lɚ]
Bon,bon [ˌbɑːn vwaɪˈɑːʒ]
balvan,boulder [ˈboʊl.dɚ]
tele,calf [kæf]
komentátor,commentator [ˈkɑː.mən.teɪ.t̬ɚ]
konsolidace,consolidation [kənˌsɑː.ləˈdeɪ.ʃən]
korek,cork [kɔːrk]
kosmetický,cosmetic [kɑːzˈmet̬.ɪk]
krychlový,cubic [ˈkjuː.bɪk]
potomek,descendant [dɪˈsen.dənt]
detektor,detector [dɪˈtek.tɚ]
strávit,digest [daɪˈdʒest]
diplomacie,diplomacy [dɪˈploʊ.mə.si]
směrnice,directive [daɪˈrek.tɪv]
nevýhoda,disadvantage [ˌdɪs.ədˈvæn.t̬ɪdʒ]
narušení,disruption [dɪsˈrʌp.ʃən]
dolů,downward [ˈdaʊn.wɚd]
zdůraznit,emphasize [ˈem.fə.saɪz]
energický,energetic [ˌen.ɚˈdʒet̬.ɪk]
tření,friction [ˈfrɪk.ʃən]
Funk,funk [fʌŋk]
velikost,greatness [ˈɡreɪt.nəs]
Hacker,hacker [ˈhæk.ɚ]
nebezpečný,hazardous [ˈhæz.ɚ.dəs]
šlapka,hooker [ˈhʊk.ɚ]
beznadějný,hopeless [ˈhoʊp.ləs]
hodinově,hourly [ˈaʊr.li]
nepřímo,indirectly [ˌɪn.daɪˈrekt.li]
indukce,induction [ɪnˈdʌk.ʃən]
Nestabilita,instability [ˌɪn.stəˈbɪl.ə.t̬i]
lingvistické,linguistic [lɪŋˈɡwɪs.tɪk]
posluchač,listener [ˈlɪs.ən.ɚ]
smetí,litter [ˈlɪt̬.ɚ]
kus,lump [lʌmp]
Makro,macro [ˈmæk.roʊ]
mag,mag [/kəˈlæb.ə.reɪt/]
smírčí soudce,magistrate [ˈmædʒ.ə.streɪt]
okrajový,marginal [ˈmɑːr.dʒɪ.nəl]
mužský,masculine [ˈmæs.kjə.lɪn]
milník,milestone [ˈmaɪl.stoʊn]
džbánek,mug [mʌɡ]
obec,municipality [mjuːˌnɪs.əˈpæl.ə.t̬i]
houba,mushroom [ˈmʌʃ.ruːm]
neuron,neuron [ˈnʊr.ɑːn]
devadesát,ninety [ˈnaɪn.t̬i]
živina,nutrient [ˈnuː.tri.ənt]
observatoř,observatory [əbˈzɝː.və.tɔːr.i]
venku,outdoors [ˌaʊtˈdɔːrz]
pěší,pedestrian [pəˈdes.tri.ən]
penetrace,penetration [ˌpen.əˈtreɪ.ʃən]
lusk,pod [pɑːd]
pózování,posing [poʊz]
nejlépe,preferably [ˈpref.ər.ə.bli]
proroctví,prophecy [ˈprɑː.fə.si]
pyšně,proudly [ˈpraʊd.li]
rekordér,recorder [rɪˈkɔːr.dɚ]
Recur,recur [rɪˈkɝː]
uctivý,respectful [rɪˈspekt.fəl]
rutinně,routinely [ruːˈtiːn.li]
pozdrav,salute [səˈluːt]
spodina,scum [skʌm]
závažnost,severity [səˈver.ə.t̬i]
Shady,shady [ˈʃeɪ.di]
Slack,slack [slæk]
úhledný,slick [slɪk]
spontánní,spontaneous [spɑːnˈteɪ.ni.əs]
sporák,stove [stoʊv]
šablona,template [ˈtem.plət]
teorém,theorem [ˈθiː.rəm]
trakt,tract [trækt]
Tri,tri [traɪ-]
tribuna,tribune [ˈtrɪb.juːn]
nečekaně,unexpectedly [ˌʌn.ɪkˈspek.tɪd.li]
nahoru,upward [ˈʌp.wɚd]
průhled,vista [ˈvɪs.tə]
móda,vogue [voʊɡ]
sopečný,volcanic [vɑːlˈkæn.ɪk]
divoce,wildly [ˈwaɪld.li]
pozdravovat,acclaim [əˈkleɪm]
akumulovat,accumulate [əˈkjuː.mjə.leɪt]
uctívat,adore [əˈdɔːr]
podobný,akin [əˈkɪn]
abeceda,alphabet [ˈæl.fə.bet]
učeň,apprentice [əˈpren.t̬ɪs]
Dejte si pozor,beware [bɪˈwer]
bikiny,bikini [bəˈkiː.ni]
bisexuální,bisexual [baɪˈsek.ʃu.əl]
bulvár,boulevard [ˈbʊl.ə.vɑːrd]
náramek,bracelet [ˈbreɪ.slət]
kapsle,capsule [ˈkæp.səl]
zajatý,captive [ˈkæp.tɪv]
kronika,chronicle [ˈkrɑː.nɪ.kəl]
skořice,cinnamon [ˈsɪn.ə.mən]
pochopit,comprehend [ˌkɑːm.prəˈhend]
povinný,compulsory [kəmˈpʌl.sɚ.i]
komplic,confederate [kənˈfed.ɚ.ət]
kontaminovat,contaminate [kənˈtæm.ə.neɪt]
kontaminace,contamination [kənˌtæm.əˈneɪ.ʃən]
krédo,creed [kriːd]
křupavý,crisp [krɪsp]
kůra,crust [krʌst]
řezačka,cutter [ˈkʌt̬.ɚ]
dietní,dietary [ˈdaɪ.ə.ter.i]
disertační práce,dissertation [ˌdɪs.ɚˈteɪ.ʃən]
nadvláda,domination [ˌdɑː.məˈneɪ.ʃən]
flóra,flora [ˈflɔːr.ə]
zlomenina,fracture [ˈfræk.tʃɚ]
funkce,functionality [ˌfʌŋk.ʃənˈæl.ə.t̬i]
gama,gamma [ˈɡæm.ə]
pohled,gaze [ɡeɪz]
genom,genome [ˈdʒiː.noʊm]
štěrk,gravel [ˈɡræv.əl]
střih,haircut [ˈher.kʌt]
ruch,hustle [ˈhʌs.əl]
líný,idle [ˈaɪ.dəl]
obžaloba,indictment [ɪnˈdaɪt̬.mənt]
nepravidelný,irregular [ɪˈreɡ.jə.lɚ]
šťavnatý,juicy [ˈdʒuː.si]
Jumper,jumper [ˈdʒʌm.pɚ]
končetina,limb [lɪm]
savec,mammal [ˈmæm.əl]
ručně,manually [ˈmæn.ju.ə.li]
bezvýznamný,meaningless [ˈmiː.nɪŋ.ləs]
tisíciletí,millennium [mɪˈlen.i.əm]
nedorozumění,misunderstanding [ˌmɪs.ʌn.dɚˈstæn.dɪŋ]
náladový,moody [ˈmuː.di]
Nam,nam [ˌnɑːm ˈplɑː]
jehly,needles [ˈniː.dəl]
nudle,noodle [ˈnuː.dəl]
věštec,oracle [ˈɔːr.ə.kəl]
překrytí,overlap [ˌoʊ.vɚˈlæp]
nahlédnout,peek [piːk]
Pentagon,pentagon [-t̬ə.ɡɑːn]
hrnčířství,pottery [ˈpɑː.t̬ɚ.i]
prérie,prairie [ˈprer.i]
žert,prank [præŋk]
předčasné,premature [ˌpriː.məˈtʃʊr]
psychiatr,psychiatrist [saɪˈkaɪə.trɪst]
Quad,quad [kwɑːd]
křemen,quartz [ˈkwɔːrts]
pobyt,residency [ˈrez.ə.dən.si]
reagovat,responsive [rɪˈspɑːn.sɪv]
řev,roar [rɔːr]
trouchnivění,rot [rɑːt]
kopí,spear [spɪr]
stimulace,stimulation [ˌstɪm.jəˈleɪ.ʃən]
pramen,strand [strænd]
stylový,stylish [ˈstaɪ.lɪʃ]
technik,technician [tekˈnɪʃ.ən]
přílivové,tidal [ˈtaɪ.dəl]
kalhoty,trouser [ˈtraʊ.zɚ]
neochotné,unwilling [ʌnˈwɪl.ɪŋ]
platnost,validity [vəˈlɪd.ə.t̬i]
Varsity,varsity [ˈvɑːr.sə.t̬i]
ověření,verification [ˌver.ə.fəˈkeɪ.ʃən]
slib,vow [vaʊ]
zranitelnost,vulnerability [ˌvʌl.nɚ.əˈbɪl.ə.t̬i]
ať už,whichever [wɪˈtʃev.ɚ]
hněv,wrath [rɑːθ]
pomocník,aide [eɪd]
věrnost,allegiance [əˈliː.dʒəns]
apt,apt [æpt]
korálek,bead [biːd]
nápoj,beverage [ˈbev.ɚ.ɪdʒ]
požár,blaze [bleɪz]
nárazník,bumper [ˈbʌm.pɚ]
křída,chalk [tʃɑːk]
tácek,coaster [ˈkoʊ.stɚ]
volební obvod,constituency [kənˈstɪtʃ.u.ən.si]
kontingent,contingent [kənˈtɪn.dʒənt]
cyklista,cyclist [ˈsaɪ.klɪst]
zbavit,deprive [dɪˈpraɪv]
diplomat,diplomat [ˈdɪp.lə.mæt]
celistvost,entirety [ɪnˈtaɪr.ə.t̬i]
exodus,exodus [ˈek.sə.dəs]
rybolov,fishery [ˈfɪʃ.ɚ.i]
stádo,flock [flɑːk]
Flyer,flyer [ˈflaɪ.ɚ]
fotbalista,footballer [ˈfʊt.bɑː.lɚ]
lesnictví,forestry [ˈfɔːr.ə.stri]
Grim,grim [ɡrɪm]
bezmocný,helpless [ˈhelp.ləs]
polokoule,hemisphere [ˈhem.ə.sfɪr]
hyper,hyper [ˈhaɪ.pɚ]
nepohodlí,inconvenience [ˌɪn.kənˈviːn.jəns]
injekční,inject [ɪnˈdʒekt]
intrika,intrigue [ɪnˈtriːɡ]
invazivní,invasive [ɪnˈveɪ.sɪv]
zavlažování,irrigation [ˌɪr.əˈɡeɪ.ʃən]
zabíjení,killing [ˈkɪl.ɪŋ]
konečně,lastly [ˈlæst.li]
rtěnka,lipstick [ˈlɪp.stɪk]
manipulovat,manipulate [məˈnɪp.jə.leɪt]
Mart,mart [mɑːrt]
Midway,midway [ˌmɪdˈweɪ]
vlhký,moist [mɔɪst]
truchlit,mourn [mɔːrn]
MU,mu [muː]
hořčice,mustard [ˈmʌs.tɚd]
záporně,negatively [ˈneɡ.ə.t̬ɪv.li]
Persona,persona [pɚˈsoʊ.nə]
plak,plaque [plæk]
poetický,poetic [poʊˈet̬.ɪk]
kázat,preach [priːtʃ]
čistota,purity [ˈpjʊr.ə.t̬i]
rabín,rabbi [ˈræb.aɪ]
realismus,realism [ˈriː.ə-]
lopatka,scoop [skuːp]
skotská,scotch [skɑːtʃ]
drhnutí,scrub [skrʌb]
šití,sewing [ˈsoʊ.ɪŋ]
břidlice,shale [ʃeɪl]
holeň,shin [ʃɪn]
natáčení,shooting [ˈʃuː.t̬ɪŋ]
zjednodušit,simplify [ˈsɪm.plə.faɪ]
sol,sol [sɑːl]
advokát,solicitor [səˈlɪs.ə.t̬ɚ]
Sophomore,sophomore [ˈsɑː.fə.mɔːr]
letka,squadron [ˈskwɑː.drən]
veverka,squirrel [ˈskwɝː.əl]
stigma,stigma [ˈstɪɡ.mə]
troud,tinder [ˈtɪn.dɚ]
zrádce,traitor [ˈtreɪ.t̬ɚ]
podcenění,underestimate [ˌʌn.dɚˈes.tə.meɪt]
tapeta,wallpaper [ˈwɑːlˌpeɪ.pɚ]
watt,watt [wɑːt]
vrba,willow [ˈwɪl.oʊ]
Ale,ale [eɪl]
archeologický,archaeological [ˌɑːr.ki.əˈlɑː.dʒɪ.kəl]
bouchání,banging [ˈbæŋ.ɪŋ]
koupání,bathing [ˈbeɪ.ðɪŋ]
zrada,betrayal [bɪˈtreɪ.əl]
lepení,bonding [ˈbɑːn.dɪŋ]
kardiovaskulární,cardiovascular [ˌkɑːr.di.oʊˈvæs.kjə.lɚ]
šik,chic [ʃiːk]
klon,clone [kloʊn]
komunální,communal [ˈkɑː.mjə.nəl]
konsorcium,consortium [kənˈsɔːr.ʃəm]
kurýr,courier [ˈkʊr.i.ɚ]
debatující,debating [dɪˈbeɪt]
katastrofální,disastrous [dɪˈzæs.trəs]
bubeník,drummer [ˈdrʌm.ɚ]
odolný,durable [ˈdʊr.ə.bəl]
účinnost,efficacy [ˈef.ə.kə.si]
přehnaný,exaggerated [ɪɡˈzædʒ.ə.reɪ.t̬ɪd]
vyloučení,exclusion [ɪksˈkluː.ʒən]
zapalování,ignition [ɪɡˈnɪʃ.ən]
vyšetřovací,investigative [ɪnˈves.təˌɡeɪ.t̬ɪv]
klenot,jewel [ˈdʒuː.əl]
manifest,manifest [ˈmæn.ə.fest]
vzájemně,mutually [ˈmjuː.tʃu.ə.li]
navigovat,navigate [ˈnæv.ə.ɡeɪt]
obézní,obese [oʊˈbiːs]
dosah,outreach [ˈaʊt.riːtʃ]
pandemický,pandemic [pænˈdem.ɪk]
obvod,perimeter [pəˈrɪm.ə.t̬ɚ]
štika,pike [paɪk]
dudák,piper [ˈpaɪ.pɚ]
kazatel,preacher [ˈpriː.tʃɚ]
zadávání zakázek,procurement [prəˈkjʊr.mənt]
ochránce,protector [prəˈtek.tɚ]
buničina,pulp [pʌlp]
výkupné,ransom [ˈræn.səm]
role,reel [riːl]
reg,reg [redʒ]
zkouška,rehearsal [rəˈhɝː.səl]
restart,restart [ˌriːˈstɑːrt]
oživit,revive [rɪˈvaɪv]
rigorózní,rigorous [ˈrɪɡ.ɚ.əs]
šátek,scarf [skɑːrf]
scenérie,scenery [ˈsiː.nɚ.i]
smyslové,sensory [ˈsen.sər.i]
chodník,sidewalk [ˈsaɪd.wɑːk]
skeptický,skeptical [ˈskep.tɪ.kəl]
ospalý,sleepy [ˈsliː.pi]
hladce,smoothly [ˈsmuːð.li]
sešík,staple [ˈsteɪ.pəl]
stereotyp,stereotype [ˈster.i.ə.taɪp]
omráčit,stun [stʌn]
potlačení,suppression [-ˈpreʃ.ən]
terminologie,terminology [ˌtɝː.məˈnɑː.lə.dʒi]
divadelní,theatrical [θiˈæt.rɪ.kəl]
časovač,timer [ˈtaɪ.mɚ]
cestovatel,traveller [ˈtræv.əl.ɚ]
účast,turnout [ˈtɝːn.aʊt]
jednomyslný,unanimous [juːˈnæn.ə.məs]
nepředvídatelné,unpredictable [ˌʌn.prɪˈdɪk.tə.bəl]
ověření,validation [ˌvæl.əˈdeɪ.ʃən]
pomsta,vengeance [ˈven.dʒəns]
vizuálně,visually [ˈvɪʒ.u.ə.li]
udivující,astonishing [əˈstɑː.nɪ.ʃɪŋ]
pekárna,bakery [ˈbeɪ.kɚ.i]
věřící,believer [bɪˈliː.vɚ]
chaotický,chaotic [keɪˈɑː.t̬ɪk]
nabíječka,charger [ˈtʃɑːr.dʒɚ]
komerčně,commercially [kəˈmɝː.ʃəl.i]
zbabělec,coward [ˈkaʊ.ɚd]
důlek,dent [dent]
zmenšit,diminish [dɪˈmɪn.ɪʃ]
holubice,dove [dʌv]
zaprášený,dusty [ˈdʌs.ti]
osvícení,enlightenment [ɪnˈlaɪ.tən.mənt]
ohnisko,focal [ˈfoʊ.kəl]
děsivý,frightening [ˈfraɪ.tən.ɪŋ]
Gala,gala [ˈɡeɪ.lə]
zahrádkářství,gardening [ˈɡɑːr.dən.ɪŋ]
posádka,garrison [ˈɡer.ə.sən]
rád,gladly [ˈɡlæd.li]
Goodwill,goodwill [ɡʊdˈwɪl]
postupný,gradual [ˈɡrædʒ.u.əl]
pozdrav,greeting [ˈɡriː.t̬ɪŋ]
postroj,harness [ˈhɑːr.nəs]
srdeční rytmus,heartbeat [ˈhɑːrt.biːt]
bezprostřední,imminent [ˈɪm.ə.nənt]
inaugurační,inaugural [ɪˈnɑː.ɡjə.rəl]
izolace,insulation [ˌɪn.səˈleɪ.ʃən]
internovat,intern [ˈɪn.tɝːn]
nezodpovědný,irresponsible [ˌɪr.əˈspɑːn.sə.bəl]
